junction Name,Latitude,Longitude
BLOOD BANK CIRCLE,12.9623614,77.5948397
DEVANGA HOSTEL,12.9657719,77.5896176
Hudson Circle,12.9673565,77.5879174
N.R. SQUARE Jn,12.9657064,77.586663
POLICE CORNER,12.9680017,77.587229
POORNIMA THEATRE ,12.960964,77.5881336
SHIVAJI TALKIES,12.9614874,77.5841326
Town Hall Jn,12.9636962,77.5850743
Chikkajala Jn,13.173246,77.6338285
Sadahalli Jn,13.1907813,77.6461251
Vidya Nagar Jn,13.1611789,77.6269518
AS Char Street-Mysore Road Jn,12.9645605,77.5737088
Binny Mill Jn,12.970656,77.5665158
Briyand Circle Jn,12.9640328,77.5696623
DR. TCM ROYAN ROAD JUNCTION-NEAR AMBEDKAR STATUE,12.9651111,77.5682094
Khodays Circle(DV URS Circle),12.980091,77.5711169
Anil Kumble Circle Jn,12.9765792,77.6017806
Basaweshwara Circle(LH) Jn,12.9845973,77.5882201
Coffee Board Jn,12.9832456,77.5958149
GOPAL GOWDA CIRCLE JUNCTION,12.9777433,77.5907477
Indian Express Jn,12.9842724,77.5971737
Minsk Square(CTO) Jn,12.9809822,77.5972445
POLICE THIMMAIAH CIRCLE ,12.9818842,77.594634
"QUEENS STATUE CIRCLE JUNCTION (JEWELS DE PARAGON),",12.9766571,77.599301
SIDDALINGAIAH JUNCTION,12.9721002,77.5939357
DEVANAHALLI CROSS (BYPASS CROSS) JUNCTION,13.2425471,77.7040211
DODDABALLAPURA CROSS (VIJIPURA CROSS & BYPASS-DODDABALLAPURA) JUNCTION,13.2574165,77.712721
NANDI CROSS (RANI CROSS) JUNCTION,13.2675489,77.7196874
"Vijipura
Cross Junction - Devanahalli cross",13.2569925,77.7173171
ELECTRONIC CITY GATE - 2 JUNCTION,12.8473917,77.6709792
Naganathapura Jn,12.8698498,77.6533874
Timken Jn,12.8559966,77.6642656
Veerasandra Jn,12.8399942,77.6769032
"WIPRO JUNCTION,",12.8390523,77.6589501
Hennur Road-Davis Road,13.0040355,77.6196308
Mosque Circle Jn,13.0005785,77.6160317
Pottery Circle Jn,13.0019411,77.6120904
Veeranna Palya Jn,13.0421726,77.6135549
"BHADRAPPA LAYOUT JUNCTION,",13.0474127,77.575873
Hebbal Flyover Jn,13.042746,77.5903154
Kodigehalli Gate Jn,13.0573834,77.5934162
NANJAPPA CIRCLE (VIDYARANYAPURA) JUNCTION,13.06839,77.5603774
ASC JUNCTION,12.9668019,77.6205835
ADIGAS JUNCTION (ULSOOR RD. - DICKENSON RD.),12.9763129,77.614676
BEGUM MAHAL JUNCTION,12.9747345,77.6200471
CB Road Airport ,12.9648219,77.6281135
DOMLUR WATER TANK,12.9609759,77.6384549
HOSMAT JUNCTION,12.9683766,77.6143028
KENSINGTON,12.9816178,77.6230286
RAMAIAH CIRCLE-ULSOOR POLICE STATION Jn,12.9750476,77.625334
TAMARI KANNAN,12.9789806,77.6291059
Anjeneya temple Junction,12.9816277,77.6313278
TRINITY CIRCLE,12.9725617,77.6195431
WEBBS CIRCLE,12.9737888,77.6138258
Thomas Cafe,12.9906084,77.6139294
Coles Park,12.9943542,77.6102694
Hains,12.9955923,77.6084364
Haj Camp ,12.9963418,77.6071726
KAMRAJ ROAD,12.9771856,77.6086707
Manipal Center,12.9753483,77.6144197
NAGA THEATRE,12.9885495,77.6172356
VETERINARY HOSPITAL,12.9905136,77.5995326
SAFINA PLAZA ,12.9792418,77.6071188
SHIVAJI NAGAR (BRV) Jn,12.9792257,77.6023996
Thomas Bakery,12.9916567,77.6144799
TYAGI HENAGALAVARAYAN (DICKENSON RD),12.9809282,77.6100767
BHASHYAM CIRCLE,13.0064027,77.5787461
MEKHRI CIRCLE,13.0145126,77.5839831
SADASHIVANAGAR JUNCTION,13.0146817,77.5727838
TATA INSTITUTE CIRCLE,13.0141371,77.5658327
Vinayaka Circle,12.9992347,77.5781574
TV Tower,13.0074688,77.5922751
Devasandra,13.0242811,77.5720872
GULABI ,13.0020088,77.5987559
"ISRO, New BEL Rd.",13.0283833,77.5712595
R.T. Nagar Police Station,13.0249644,77.5929241
TARALABALU,13.0207016,77.5924278
Bhashyam Circle,12.98441,77.55412
ESI Hospital,12.9899363,77.5543775
FTI Junction (Kanteerava studio),13.0221691,77.5326235
Mahalaxmi Entrance Junction,13.0076518,77.5487235
Navrang Bar Junction (Dr. Rajkumar Rd & Bridge stone),12.9981848,77.5530444
RAJAJINAGAR ENTRANCE JUNCTION,12.9821986,77.5642576
"Rajarajeshwari Kalyana Mantapa Junction, Dr. Rajkumar Road",12.994872,77.5551632
14TH CROSS PEENYA Jn,13.0179079,77.5026635
NTTF Circle,13.0251188,77.5110438
Bagalgunte Junction,13.0566847,77.507274
Hesaragatta Cross Junction,13.0453699,77.5072912
Peenya 2nd Stage Junction,13.0099152,77.506171
